48 2 1 
1 1 -4
2 3 -100
3 2 -209
4 4 -712
23 8 -107509
29 14 -272137
37 6 -409097
46 43 -4429576
43 31 -1911460
15 45 -1393110
39 10 -508969
36 19 -616246
7 37 -357094
28 34 -1273708
45 27 -1273708
12 47 -1259174
4 35 -171894
50 1 -992548
21 38 -1225001
41 47 -4802974
15 31 -473128
35 11 -385888
23 34 -999673
38 14 -538888
7 32 -231909
36 11 -417254
33 45 -3291264
46 40 -3716260
14 28 -328636
34 8 -328356
40 6 -515828
47 43 -4560700
31 40 -2219365
11 11 -24904
41 48 -5080501
32 38 -2014900
19 30 -566729
31 13 -303526
50 36 -3325228
16 43 -1304026
33 49 -4166548
37 32 -1613469
20 22 -275716
41 16 -714229
18 40 -1197604
13 7 -21514
22 29 -620232
50 50 -7242400
