85 1 1
-5	-12,19578794
-4,7	-12,75563584
-4,4	-9,417187708
-4,1	-3,169833115
-3,8	3,910312635
-3,5	9,442426363
-3,2	11,63890855
-2,9	9,976655334
-2,6	5,385676235
-2,3	-0,1165913689
-2	-4,205221417
-1,7	-5,143750525
-1,4	-2,453638432
-1,1	2,898692915
-0,8	8,868834859
-0,5	13,11528666
-0,2	13,89599402
0,1	10,73800758
0,4	4,624323987
0,7	-2,37367683
1	-7,878081713
1,3	-10,10227275
1,6	-8,522164462
1,9	-4,064856361
2,2	1,256949541
2,5	5,124720132
2,8	5,809816082
3,1	2,842675126
3,4	-2,800466902
3,7	-9,064899233
4	-13,59869574
4,3	-14,6496228
4,6	-11,73515839
4,9	-5,829672256
5,2	1,002831162
5,5	6,390301539
5,8	8,550263423
6,1	6,960906688
6,4	2,549658475
6,7	-2,672410901
7	-6,390301539
7,3	-6,880683685
7,6	-3,680892907
7,9	2,224593227
8,2	8,771770276
8,5	13,59869574
8,8	14,94275176
9,1	12,31103206
9,4	6,667890037
9,7	0,06803644062
10	-5,124720132
10,3	-7,134802064
10,6	-5,445708802
10,9	-0,9884007012
11,2	4,224420226
11,5	7,878081713
11,8	8,251529352
12,1	4,886241176
12,4	-1,227442418
12,7	-8,018141493
13	-13,11528666
13,3	-14,74668738
13,6	-12,40925808
13,9	-7,056926731
14,2	-0,7341019976
14,5	4,205221417
14,8	5,994443892
15,1	4,124888928
15,4	-0,4660901706
15,7	-5,761056032
16	-9,442426363
16,3	-9,788165158
16,6	-6,340732048
16,9	-0,09337745501
17,2	6,87778332
17,5	12,19578794
17,8	14,08062183
18,1	12,02022138
18,4	6,958700718
18,7	0,9301663711
19	-3,721812335
19,3	-5,240815109
19,6	-3,12773812
19,9	1,67143844
20,2	7,131901699
